ok  	github.com/Overclock-Validator/mithril/pkg/accounts	1.305s
ok  	github.com/Overclock-Validator/mithril/pkg/blockprod	21.817s
ok  	github.com/Overclock-Validator/mithril/pkg/blockprod/scheduler	1.949s
ok  	github.com/Overclock-Validator/mithril/pkg/costmodel	2.008s
ok  	github.com/Overclock-Validator/mithril/pkg/merkletree	2.233s
ok  	github.com/Overclock-Validator/mithril/pkg/replay	4.644s
ok  	github.com/Overclock-Validator/mithril/pkg/fees	1.961s
ok  	github.com/Overclock-Validator/mithril/pkg/turbine	5.114s
ok  	github.com/Overclock-Validator/mithril/pkg/tpu/txfixture	54.959s
ok  	github.com/Overclock-Validator/mithril/pkg/config	2.348s
ok  	github.com/Overclock-Validator/mithril/cmd/mithril/node	3.229s
