ok  	github.com/Overclock-Validator/mithril/pkg/accounts	1.108s
ok  	github.com/Overclock-Validator/mithril/pkg/blockprod	14.102s
ok  	github.com/Overclock-Validator/mithril/pkg/blockprod/scheduler	1.384s
ok  	github.com/Overclock-Validator/mithril/pkg/costmodel	1.181s
ok  	github.com/Overclock-Validator/mithril/pkg/merkletree	1.364s
ok  	github.com/Overclock-Validator/mithril/pkg/replay	2.236s
ok  	github.com/Overclock-Validator/mithril/pkg/fees	1.135s
ok  	github.com/Overclock-Validator/mithril/pkg/turbine	3.135s
ok  	github.com/Overclock-Validator/mithril/pkg/tpu/txfixture	31.532s
ok  	github.com/Overclock-Validator/mithril/pkg/config	1.007s
ok  	github.com/Overclock-Validator/mithril/cmd/mithril/node	1.181s
