goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/catchup/overlap_off-8         	       3	 132732036 ns/op	         1.926 avg_cpu_cores	         6.714 collection_p50-ms	         6.898 collection_p95-ms	         4.501 completion_parse_p50-ms	         4.815 completion_parse_p95-ms	        89.28 completion_sigverify_p50-ms	       102.2 completion_sigverify_p95-ms	       691.0 components/block	       255.6 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	       123.2 full_to_ready_p50-ms	       133.2 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260174637 B/op	  235471 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/catchup/overlap_off-8         	       3	 134071642 ns/op	         1.969 avg_cpu_cores	         8.232 collection_p50-ms	         8.625 collection_p95-ms	         5.486 completion_parse_p50-ms	         5.850 completion_parse_p95-ms	        93.22 completion_sigverify_p50-ms	        94.08 completion_sigverify_p95-ms	       691.0 components/block	       264.0 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	       128.8 full_to_ready_p50-ms	       132.1 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	259991864 B/op	  235464 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/catchup/overlap_off-8         	       3	 118432537 ns/op	         1.989 avg_cpu_cores	         5.898 collection_p50-ms	         6.123 collection_p95-ms	         4.634 completion_parse_p50-ms	         5.372 completion_parse_p95-ms	        82.63 completion_sigverify_p50-ms	        82.80 completion_sigverify_p95-ms	       691.0 components/block	       235.6 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	       111.0 full_to_ready_p50-ms	       115.7 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260219832 B/op	  235471 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/catchup/overlap_on-8          	       3	 143317986 ns/op	         1.993 avg_cpu_cores	        10.38 collection_p50-ms	        10.94 collection_p95-ms	         5.302 completion_parse_p50-ms	         5.596 completion_parse_p95-ms	        91.17 completion_sigverify_p50-ms	        96.29 completion_sigverify_p95-ms	       691.0 components/block	       285.7 cpu-ms/block	     44160 data_shreds/block	      2515 early_verified_tx/block	       132.7 full_to_ready_p50-ms	       136.1 full_to_ready_p95-ms	         7.914 mean_width	         0.007227 preparation_wait_p50-ms	         0.008702 preparation_wait_p95-ms	     33760 tx/block	265981290 B/op	  236644 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/catchup/overlap_on-8          	       3	 140105831 ns/op	         2.039 avg_cpu_cores	         9.935 collection_p50-ms	        11.26 collection_p95-ms	         5.330 completion_parse_p50-ms	         6.534 completion_parse_p95-ms	        93.04 completion_sigverify_p50-ms	        94.68 completion_sigverify_p95-ms	       691.0 components/block	       285.6 cpu-ms/block	     44160 data_shreds/block	      2140 early_verified_tx/block	       131.0 full_to_ready_p50-ms	       131.5 full_to_ready_p95-ms	         7.927 mean_width	         0.005670 preparation_wait_p50-ms	         0.006587 preparation_wait_p95-ms	     33760 tx/block	265780592 B/op	  236507 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/catchup/overlap_on-8          	       3	 118146761 ns/op	         2.052 avg_cpu_cores	         8.247 collection_p50-ms	        11.14 collection_p95-ms	         5.074 completion_parse_p50-ms	         5.303 completion_parse_p95-ms	        79.37 completion_sigverify_p50-ms	        79.81 completion_sigverify_p95-ms	       691.0 components/block	       242.4 cpu-ms/block	     44160 data_shreds/block	      2091 early_verified_tx/block	       106.7 full_to_ready_p50-ms	       116.1 full_to_ready_p95-ms	         7.929 mean_width	         0.003786 preparation_wait_p50-ms	         0.007029 preparation_wait_p95-ms	     33760 tx/block	265573218 B/op	  236474 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/tip_200ms/overlap_off-8       	       3	 318801116 ns/op	         0.7606 avg_cpu_cores	       201.0 collection_p50-ms	       201.6 collection_p95-ms	         4.599 completion_parse_p50-ms	         5.045 completion_parse_p95-ms	        83.28 completion_sigverify_p50-ms	        85.20 completion_sigverify_p95-ms	       691.0 components/block	       242.5 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	       118.3 full_to_ready_p50-ms	       122.6 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260036650 B/op	  235461 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/tip_200ms/overlap_off-8       	       3	 314110925 ns/op	         0.7601 avg_cpu_cores	       201.6 collection_p50-ms	       201.7 collection_p95-ms	         4.269 completion_parse_p50-ms	         4.420 completion_parse_p95-ms	        82.73 completion_sigverify_p50-ms	        82.83 completion_sigverify_p95-ms	       691.0 components/block	       238.8 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	       113.3 full_to_ready_p50-ms	       113.6 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260219818 B/op	  235471 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/tip_200ms/overlap_off-8       	       3	 322511217 ns/op	         0.7751 avg_cpu_cores	       201.7 collection_p50-ms	       202.5 collection_p95-ms	         4.627 completion_parse_p50-ms	         5.343 completion_parse_p95-ms	        84.98 completion_sigverify_p50-ms	        88.32 completion_sigverify_p95-ms	       691.0 components/block	       250.0 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	       118.0 full_to_ready_p50-ms	       126.6 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260082442 B/op	  235464 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/tip_200ms/overlap_on-8        	       3	 226899169 ns/op	         1.167 avg_cpu_cores	       201.4 collection_p50-ms	       201.4 collection_p95-ms	         0 completion_parse_p50-ms	         0.01079 completion_parse_p95-ms	         0.1220 completion_sigverify_p50-ms	         0.3120 completion_sigverify_p95-ms	       691.0 components/block	       264.7 cpu-ms/block	     44160 data_shreds/block	     33744 early_verified_tx/block	        25.53 full_to_ready_p50-ms	        26.34 full_to_ready_p95-ms	         7.001 mean_width	         0.1206 preparation_wait_p50-ms	         0.1241 preparation_wait_p95-ms	     33760 tx/block	307640389 B/op	  250060 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/tip_200ms/overlap_on-8        	       3	 229370055 ns/op	         1.162 avg_cpu_cores	       200.7 collection_p50-ms	       201.2 collection_p95-ms	         0 completion_parse_p50-ms	         0.01841 completion_parse_p95-ms	         0.1002 completion_sigverify_p50-ms	         0.4560 completion_sigverify_p95-ms	       691.0 components/block	       266.5 cpu-ms/block	     44160 data_shreds/block	     33728 early_verified_tx/block	        29.75 full_to_ready_p50-ms	        30.22 full_to_ready_p95-ms	         7.001 mean_width	         0.1252 preparation_wait_p50-ms	         0.1260 preparation_wait_p95-ms	     33760 tx/block	307397858 B/op	  250045 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/tip_200ms/overlap_on-8        	       3	 231567222 ns/op	         1.363 avg_cpu_cores	       201.1 collection_p50-ms	       201.2 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.1245 completion_sigverify_p50-ms	         0.1492 completion_sigverify_p95-ms	       691.0 components/block	       315.7 cpu-ms/block	     44160 data_shreds/block	     33760 early_verified_tx/block	        28.97 full_to_ready_p50-ms	        34.61 full_to_ready_p95-ms	         7.001 mean_width	         0.1317 preparation_wait_p50-ms	         0.1370 preparation_wait_p95-ms	     33760 tx/block	307432845 B/op	  250046 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/catchup/overlap_off-8         	       3	  98393903 ns/op	         2.983 avg_cpu_cores	         8.190 collection_p50-ms	         8.563 collection_p95-ms	         4.938 completion_parse_p50-ms	         5.485 completion_parse_p95-ms	        55.91 completion_sigverify_p50-ms	        57.00 completion_sigverify_p95-ms	       691.0 components/block	       293.5 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	        88.12 full_to_ready_p50-ms	        95.35 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260266082 B/op	  235474 allocs/op
