goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/catchup/overlap_off-8         	       3	 105356378 ns/op	         1.971 avg_cpu_cores	         1.468 collection_p50-ms	         1.850 collection_p95-ms	         8.134 completion_parse_p50-ms	         8.419 completion_parse_p95-ms	        91.75 completion_sigverify_p50-ms	        93.70 completion_sigverify_p95-ms	       128.0 components/block	       207.7 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	       105.0 full_to_ready_p50-ms	       106.8 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60657304 B/op	  276266 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/catchup/overlap_off-8         	       3	  86032987 ns/op	         2.002 avg_cpu_cores	         1.089 collection_p50-ms	         1.203 collection_p95-ms	         6.689 completion_parse_p50-ms	         6.878 completion_parse_p95-ms	        74.21 completion_sigverify_p50-ms	        74.64 completion_sigverify_p95-ms	       128.0 components/block	       172.3 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        85.25 full_to_ready_p50-ms	        86.05 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60840701 B/op	  276276 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/catchup/overlap_off-8         	       3	  93330914 ns/op	         1.983 avg_cpu_cores	         1.146 collection_p50-ms	         1.289 collection_p95-ms	         7.575 completion_parse_p50-ms	         7.927 completion_parse_p95-ms	        78.84 completion_sigverify_p50-ms	        82.89 completion_sigverify_p95-ms	       128.0 components/block	       185.0 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        91.61 full_to_ready_p50-ms	        96.68 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60612906 B/op	  276264 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/catchup/overlap_on-8          	       3	  98687304 ns/op	         2.002 avg_cpu_cores	         1.923 collection_p50-ms	         2.397 collection_p95-ms	         8.068 completion_parse_p50-ms	         8.712 completion_parse_p95-ms	        84.04 completion_sigverify_p50-ms	        84.50 completion_sigverify_p95-ms	       128.0 components/block	       197.6 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        98.00 full_to_ready_p50-ms	        99.33 full_to_ready_p95-ms	         7.997 mean_width	         0.0009020 preparation_wait_p50-ms	         2.642 preparation_wait_p95-ms	     33760 tx/block	63544576 B/op	  276416 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/catchup/overlap_on-8          	       3	  86908892 ns/op	         2.033 avg_cpu_cores	         1.582 collection_p50-ms	         1.667 collection_p95-ms	         6.919 completion_parse_p50-ms	         7.541 completion_parse_p95-ms	        71.67 completion_sigverify_p50-ms	        73.28 completion_sigverify_p95-ms	       128.0 components/block	       176.7 cpu-ms/block	      8128 data_shreds/block	        89.67 early_verified_tx/block	        85.58 full_to_ready_p50-ms	        86.16 full_to_ready_p95-ms	         7.996 mean_width	         0.0007210 preparation_wait_p50-ms	         0.4474 preparation_wait_p95-ms	     33760 tx/block	63411160 B/op	  276433 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/catchup/overlap_on-8          	       3	  93317165 ns/op	         1.995 avg_cpu_cores	         1.590 collection_p50-ms	         1.976 collection_p95-ms	         6.820 completion_parse_p50-ms	         7.778 completion_parse_p95-ms	        76.41 completion_sigverify_p50-ms	        85.36 completion_sigverify_p95-ms	       128.0 components/block	       186.2 cpu-ms/block	      8128 data_shreds/block	        89.67 early_verified_tx/block	        90.85 full_to_ready_p50-ms	        97.05 full_to_ready_p95-ms	         7.998 mean_width	         0.0005910 preparation_wait_p50-ms	         0.0006410 preparation_wait_p95-ms	     33760 tx/block	63403101 B/op	  276380 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/tip_200ms/overlap_off-8       	       3	 290460961 ns/op	         0.6306 avg_cpu_cores	       200.6 collection_p50-ms	       200.7 collection_p95-ms	         6.281 completion_parse_p50-ms	         7.566 completion_parse_p95-ms	        73.61 completion_sigverify_p50-ms	        88.73 completion_sigverify_p95-ms	       128.0 components/block	       183.2 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        84.53 full_to_ready_p50-ms	       101.9 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60656794 B/op	  276264 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/tip_200ms/overlap_off-8       	       3	 287675866 ns/op	         0.6167 avg_cpu_cores	       200.6 collection_p50-ms	       200.6 collection_p95-ms	         6.699 completion_parse_p50-ms	         6.802 completion_parse_p95-ms	        75.07 completion_sigverify_p50-ms	        77.73 completion_sigverify_p95-ms	       128.0 components/block	       177.4 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        86.16 full_to_ready_p50-ms	        89.34 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60519650 B/op	  276258 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/tip_200ms/overlap_off-8       	       3	 287110470 ns/op	         0.6140 avg_cpu_cores	       200.6 collection_p50-ms	       201.2 collection_p95-ms	         6.565 completion_parse_p50-ms	         6.620 completion_parse_p95-ms	        74.50 completion_sigverify_p50-ms	        77.80 completion_sigverify_p95-ms	       128.0 components/block	       176.3 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        85.88 full_to_ready_p50-ms	        87.16 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60656832 B/op	  276264 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/tip_200ms/overlap_on-8        	       3	 209450474 ns/op	         0.9421 avg_cpu_cores	       200.7 collection_p50-ms	       201.2 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.01935 completion_sigverify_p50-ms	         0.03406 completion_sigverify_p95-ms	       128.0 components/block	       197.3 cpu-ms/block	      8128 data_shreds/block	     33760 early_verified_tx/block	         8.638 full_to_ready_p50-ms	         9.007 full_to_ready_p95-ms	         7.912 mean_width	         0.02519 preparation_wait_p50-ms	         0.03274 preparation_wait_p95-ms	     33760 tx/block	69730546 B/op	  279208 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/tip_200ms/overlap_on-8        	       3	 208058833 ns/op	         0.8929 avg_cpu_cores	       200.7 collection_p50-ms	       200.7 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.01704 completion_sigverify_p50-ms	         0.02061 completion_sigverify_p95-ms	       128.0 components/block	       185.8 cpu-ms/block	      8128 data_shreds/block	     33760 early_verified_tx/block	         7.636 full_to_ready_p50-ms	         9.799 full_to_ready_p95-ms	         7.912 mean_width	         0.02234 preparation_wait_p50-ms	         0.02347 preparation_wait_p95-ms	     33760 tx/block	69690704 B/op	  279231 allocs/op
