goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/catchup-8 	       3	 156715891 ns/op	         2.043 avg_cpu_cores	         1.000 components/block	       320.2 cpu-ms/block	         0.0002710 feed_lag_p50-ms	         0.001282 feed_lag_p95-ms	         4.000 mean_width	       158.0 ready_p50-ms	       164.2 ready_p95-ms	       158.0 residual_p50-ms	       164.2 residual_p95-ms	     33760 signatures/block	    215422 signatures/s	         0.01062 submit_p50-ms	         0.02492 submit_p95-ms	 7023138 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/catchup-8 	       3	 155986070 ns/op	         2.047 avg_cpu_cores	         1.000 components/block	       319.2 cpu-ms/block	         0.0002510 feed_lag_p50-ms	         0.0007810 feed_lag_p95-ms	         4.000 mean_width	       151.6 ready_p50-ms	       171.1 ready_p95-ms	       151.6 residual_p50-ms	       171.1 residual_p95-ms	     33760 signatures/block	    216430 signatures/s	         0.006532 submit_p50-ms	         0.007404 submit_p95-ms	 7023144 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/catchup-8 	       3	 145764753 ns/op	         2.047 avg_cpu_cores	         1.000 components/block	       298.4 cpu-ms/block	         0.0002810 feed_lag_p50-ms	         0.0006810 feed_lag_p95-ms	         4.000 mean_width	       145.4 ready_p50-ms	       146.6 ready_p95-ms	       145.4 residual_p50-ms	       146.6 residual_p95-ms	     33760 signatures/block	    231606 signatures/s	         0.004178 submit_p50-ms	         0.007975 submit_p95-ms	 7023133 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/tip_200ms_after_complete-8         	       3	 344523723 ns/op	         0.8561 avg_cpu_cores	       126.0 components/block	       295.0 cpu-ms/block	       100.2 feed_lag_p50-ms	       191.4 feed_lag_p95-ms	         4.000 mean_width	       244.4 ready_p50-ms	       335.6 ready_p95-ms	       144.7 residual_p50-ms	       145.2 residual_p95-ms	     33760 signatures/block	     97990 signatures/s	         0.01582 submit_p50-ms	         0.01597 submit_p95-ms	 7033338 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/tip_200ms_after_complete-8         	       3	 352992831 ns/op	         0.8764 avg_cpu_cores	       126.0 components/block	       309.4 cpu-ms/block	       100.2 feed_lag_p50-ms	       191.4 feed_lag_p95-ms	         4.000 mean_width	       252.4 ready_p50-ms	       343.6 ready_p95-ms	       144.6 residual_p50-ms	       170.7 residual_p95-ms	     33760 signatures/block	     95639 signatures/s	         0.01750 submit_p50-ms	         0.01914 submit_p95-ms	 7033616 B/op	   67540 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/tip_200ms_after_complete-8         	       3	 363417787 ns/op	         0.9118 avg_cpu_cores	       126.0 components/block	       331.4 cpu-ms/block	        99.82 feed_lag_p50-ms	       191.0 feed_lag_p95-ms	         4.000 mean_width	       263.0 ready_p50-ms	       355.8 ready_p95-ms	       163.8 residual_p50-ms	       175.6 residual_p95-ms	     33760 signatures/block	     92896 signatures/s	         0.02098 submit_p50-ms	         0.02324 submit_p95-ms	 7033530 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/tip_200ms_overlap-8                	       3	 201111285 ns/op	         1.522 avg_cpu_cores	       126.0 components/block	       306.1 cpu-ms/block	         0.03627 feed_lag_p50-ms	         0.8607 feed_lag_p95-ms	         3.956 mean_width	         1.602 ready_p50-ms	         2.473 ready_p95-ms	         1.080 residual_p50-ms	         1.219 residual_p95-ms	     33760 signatures/block	    167867 signatures/s	         0.001032 submit_p50-ms	         0.003166 submit_p95-ms	 7165506 B/op	   68945 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/tip_200ms_overlap-8                	       3	 201378639 ns/op	         1.498 avg_cpu_cores	       126.0 components/block	       301.7 cpu-ms/block	         0.2205 feed_lag_p50-ms	         0.8775 feed_lag_p95-ms	         3.956 mean_width	         1.582 ready_p50-ms	         2.532 ready_p95-ms	         1.361 residual_p50-ms	         1.407 residual_p95-ms	     33760 signatures/block	    167644 signatures/s	         0.001123 submit_p50-ms	         0.002805 submit_p95-ms	 7167869 B/op	   68945 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_4/tip_200ms_overlap-8                	       3	 201155070 ns/op	         1.486 avg_cpu_cores	       126.0 components/block	       299.0 cpu-ms/block	         0.05468 feed_lag_p50-ms	         0.8310 feed_lag_p95-ms	         3.956 mean_width	         1.579 ready_p50-ms	         2.456 ready_p95-ms	         1.334 residual_p50-ms	         1.380 residual_p95-ms	     33760 signatures/block	    167831 signatures/s	         0.001042 submit_p50-ms	         0.002434 submit_p95-ms	 7159269 B/op	   68921 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/catchup-8                          	       3	  74916706 ns/op	         2.041 avg_cpu_cores	         1.000 components/block	       152.9 cpu-ms/block	         0.0002510 feed_lag_p50-ms	         0.0004810 feed_lag_p95-ms	         8.000 mean_width	        74.90 ready_p50-ms	        75.95 ready_p95-ms	        74.90 residual_p50-ms	        75.95 residual_p95-ms	     33760 signatures/block	    450634 signatures/s	         0.004738 submit_p50-ms	         0.006292 submit_p95-ms	 7023266 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/catchup-8                          	       3	  75787979 ns/op	         2.041 avg_cpu_cores	         1.000 components/block	       154.7 cpu-ms/block	         0.0003900 feed_lag_p50-ms	         0.0005310 feed_lag_p95-ms	         8.000 mean_width	        75.44 ready_p50-ms	        76.90 ready_p95-ms	        75.44 residual_p50-ms	        76.90 residual_p95-ms	     33760 signatures/block	    445453 signatures/s	         0.006492 submit_p50-ms	         0.006763 submit_p95-ms	 7023258 B/op	   67538 allocs/op
