goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/catchup-8 	       3	 165232107 ns/op	         2.073 avg_cpu_cores	         1.000 components/block	       342.6 cpu-ms/block	         0.0002410 feed_lag_p50-ms	         0.0004810 feed_lag_p95-ms	         4.000 mean_width	       163.8 ready_p50-ms	       171.9 ready_p95-ms	       163.8 residual_p50-ms	       171.9 residual_p95-ms	     33760 signatures/block	    204319 signatures/s	         0.004889 submit_p50-ms	         0.005961 submit_p95-ms	44570082 B/op	   67557 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/catchup-8 	       3	 166036574 ns/op	         2.074 avg_cpu_cores	         1.000 components/block	       344.4 cpu-ms/block	         0.0002110 feed_lag_p50-ms	         0.0004710 feed_lag_p95-ms	         4.000 mean_width	       164.3 ready_p50-ms	       172.6 ready_p95-ms	       164.3 residual_p50-ms	       172.6 residual_p95-ms	     33760 signatures/block	    203329 signatures/s	         0.004078 submit_p50-ms	         0.006131 submit_p95-ms	44615709 B/op	   67558 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/catchup-8 	       3	 158962907 ns/op	         2.075 avg_cpu_cores	         1.000 components/block	       329.9 cpu-ms/block	         0.0002500 feed_lag_p50-ms	         0.0004610 feed_lag_p95-ms	         4.000 mean_width	       159.6 ready_p50-ms	       160.2 ready_p95-ms	       159.6 residual_p50-ms	       160.2 residual_p95-ms	     33760 signatures/block	    212377 signatures/s	         0.004829 submit_p50-ms	         0.005470 submit_p95-ms	44707154 B/op	   67561 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/tip_200ms_after_complete-8         	       3	 359264432 ns/op	         0.9167 avg_cpu_cores	       689.0 components/block	       329.3 cpu-ms/block	       100.5 feed_lag_p50-ms	       190.7 feed_lag_p95-ms	         4.000 mean_width	       259.3 ready_p50-ms	       349.4 ready_p95-ms	       159.3 residual_p50-ms	       160.9 residual_p95-ms	     33760 signatures/block	     93970 signatures/s	         0.01357 submit_p50-ms	         0.01492 submit_p95-ms	44535416 B/op	   67551 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/tip_200ms_after_complete-8         	       3	 359629949 ns/op	         0.9180 avg_cpu_cores	       689.0 components/block	       330.1 cpu-ms/block	       100.7 feed_lag_p50-ms	       190.8 feed_lag_p95-ms	         4.000 mean_width	       259.7 ready_p50-ms	       349.8 ready_p95-ms	       159.4 residual_p50-ms	       161.5 residual_p95-ms	     33760 signatures/block	     93874 signatures/s	         0.01362 submit_p50-ms	         0.01513 submit_p95-ms	44535658 B/op	   67552 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/tip_200ms_after_complete-8         	       3	 359479815 ns/op	         0.9171 avg_cpu_cores	       689.0 components/block	       329.7 cpu-ms/block	       100.4 feed_lag_p50-ms	       190.5 feed_lag_p95-ms	         4.000 mean_width	       259.5 ready_p50-ms	       349.6 ready_p95-ms	       159.9 residual_p50-ms	       160.2 residual_p95-ms	     33760 signatures/block	     93913 signatures/s	         0.01571 submit_p50-ms	         0.01585 submit_p95-ms	44489704 B/op	   67550 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/tip_200ms_overlap-8                	       3	 200661932 ns/op	         1.879 avg_cpu_cores	       689.0 components/block	       377.1 cpu-ms/block	         0.04898 feed_lag_p50-ms	         3.657 feed_lag_p95-ms	         3.770 mean_width	         0.9535 ready_p50-ms	         5.077 ready_p95-ms	         0.6731 residual_p50-ms	         0.9156 residual_p95-ms	     33760 signatures/block	    168243 signatures/s	         0.001192 submit_p50-ms	         0.5149 submit_p95-ms	45346429 B/op	   75220 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/tip_200ms_overlap-8                	       3	 200375326 ns/op	         1.856 avg_cpu_cores	       689.0 components/block	       371.8 cpu-ms/block	         0.04542 feed_lag_p50-ms	         2.251 feed_lag_p95-ms	         3.770 mean_width	         0.9154 ready_p50-ms	         3.697 ready_p95-ms	         0.3591 residual_p50-ms	         0.4024 residual_p95-ms	     33760 signatures/block	    168484 signatures/s	         0.001102 submit_p50-ms	         0.5519 submit_p95-ms	45279114 B/op	   75174 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/tip_200ms_overlap-8                	       3	 200405779 ns/op	         1.798 avg_cpu_cores	       689.0 components/block	       360.4 cpu-ms/block	         0.03941 feed_lag_p50-ms	         1.051 feed_lag_p95-ms	         3.770 mean_width	         0.8241 ready_p50-ms	         2.498 ready_p95-ms	         0.3923 residual_p50-ms	         0.5034 residual_p95-ms	     33760 signatures/block	    168458 signatures/s	         0.0008520 submit_p50-ms	         0.5208 submit_p95-ms	45287578 B/op	   75182 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_4tx_200ms_overlap-8         	       3	 200381187 ns/op	         0.02000 avg_cpu_cores	        64.00 components/block	         4.008 cpu-ms/block	         0.5205 feed_lag_p50-ms	         0.9542 feed_lag_p95-ms	         4.000 mean_width	         0.5746 ready_p50-ms	         1.006 ready_p95-ms	         0.06565 residual_p50-ms	         1.008 residual_p95-ms	       256.0 signatures/block	      1278 signatures/s	         0.001062 submit_p50-ms	         0.003106 submit_p95-ms	  405549 B/op	    1227 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_4tx_200ms_overlap-8         	       3	 200548807 ns/op	         0.03358 avg_cpu_cores	        64.00 components/block	         6.734 cpu-ms/block	         0.5788 feed_lag_p50-ms	         0.9736 feed_lag_p95-ms	         4.000 mean_width	         0.6502 ready_p50-ms	         1.057 ready_p95-ms	         0.4003 residual_p50-ms	         0.8991 residual_p95-ms	       256.0 signatures/block	      1276 signatures/s	         0.002535 submit_p50-ms	         0.01151 submit_p95-ms	  405570 B/op	    1228 allocs/op
